,libro,película,film_year
0,Emma,Emma. ,2020
1,Team of Rivals: The Political Genius of Abraham Lincoln,Lincoln ,2012
2,Room,Room ,2015
3,The Princess Diaries,The Princess Diaries ,2001
4,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest ,1975
5,"I, Tina",What's Love Got to Do With It ,1993
6,The Age of Innocence,The Age of Innocence ,1993
7,Little Women,Little Women ,2019
8,To Kill a Mockingbird,To Kill a Mockingbird ,1962
9,Le Transperceneige,Snowpiercer ,2014
10,The Nanny Diaries,The Nanny Diaries ,2007
11,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy ,2011
12,Poldark,Poldark ,2015
13,It's Kind of a Funny Story,It's Kind of a Funny Story ,2010
14,The Joy Luck Club,The Joy Luck Club ,1993
15,Crazy Rich Asians,Crazy Rich Asians ,2018
16,Outlander,Outlander ,2014–present
17,Normal People,Normal People ,2020
18,The Maze Runner,The Maze Runner ,2014
19,Call Me by Your Name,Call Me by Your Name ,2017
20,The Color Purple,The Color Purple ,1985
21,The Call of the Wild,The Call of the Wild ,2020
22,Atonement,Atonement ,2007
23,Nomadland: Surviving America in the Twenty-First Century,Nomadland ,2020
24,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring ,2001
25,"Are You There God? It's Me, Margaret.","Are You There God? It's Me, Margaret. ",2023
26,Dune,Dune ,2021
27,One Day,One Day ,2024
28,American Prometheus,Oppenheimer ,2023
